**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (-1.623,-0.865001,0.997992) 6224.09 (-770.39,-302.004,0) 21 -8.36571e-06 (2.48513e-06,9.74206e-07,0) 501943 66731.5 0.0124
subcontact = (-1.701,-0.655001,0.997986) 19812.2 (-1904.73,-737.16,0) 20 -1.42482e-05 (3.28756e-06,1.27234e-06,0) 854894 88129.6 0.023175
subcontact = (-1.064,-0.385999,0.99799) 8051.32 (-1407.59,378.972,0) 19 -1.02853e-05 (4.31554e-06,-1.1619e-06,0) 617117 111730 0.0130467
subcontact = (-1.27,-0.386,0.997987) 21969.9 (-2926.39,254.064,0) 18 -1.34995e-05 (4.31551e-06,-3.74666e-07,0) 809972 108294 0.0271243
subcontact = (-1.27,-0.655,0.997992) 14937.2 (-2719.78,310.01,0) 17 -7.52328e-06 (3.28762e-06,-3.74735e-07,0) 451397 82722.7 0.0330912
subcontact = (-0.956003,-0.765998,0.998) 334.925 (-30.8665,-94.2117,0) 16 -1.57852e-07 (2.86351e-06,-1.57472e-06,0) 9471.11 2803.49 0.0353628
subcontact = (-1.291,-0.805,0.997995) 8516.44 (-2131.75,231.298,0) 15 -4.51846e-06 (2.71444e-06,-2.94521e-07,0) 271108 68259.3 0.0314135
contact = 10 1 9 8 (-1.3103,-0.648983,1.74599) (0.0641749,0.152498,0.986218)
subcontact = (-1.62302,-0.876982,1.80199) 1068.41 (165.515,-287.892,33.7461) 14 -2.66439e-06 (-9.90625e-07,1.72306e-06,-2.01974e-07) 159863 49944.2 0.00668327
subcontact = (-1.70302,-0.654984,1.77298) 5456.15 (476.221,-483.93,43.8412) 13 -7.24968e-06 (-1.51863e-06,1.54322e-06,-1.39806e-07) 434981 54240.8 0.0125434
subcontact = (-1.06402,-0.385982,1.68898) 4975.43 (362.489,-504.768,54.4641) 12 -1.24411e-05 (-2.17537e-06,3.02922e-06,-3.26851e-07) 746466 93592.4 0.00666531
